input_file,mua,musp,n_int,f,phase,amplitude
10,0.41000000000000003,0.5,1.4349999999999992,0.471239,-0.079057650057638,0.0384447732226
10,0.41000000000000003,0.5,1.4349999999999992,0.942478,-0.13819776594757,0.029287379496594
10,0.41000000000000003,0.5,1.4349999999999992,3.14159,-0.23648541871072,0.012548733817947
10,0.41000000000000003,0.5,1.4349999999999992,6.28319,-0.26891410970685,0.0069362377826066
11,0.41000000000000003,0.5,1.439999999999999,0,0,0.044050002664223
11,0.41000000000000003,0.5,1.439999999999999,0.125664,-0.022180776607046,0.043573317141983
11,0.41000000000000003,0.5,1.439999999999999,0.471239,-0.079057650057638,0.0384447732226
11,0.41000000000000003,0.5,1.439999999999999,0.942478,-0.13819776594757,0.029287379496594
11,0.41000000000000003,0.5,1.439999999999999,3.14159,-0.23648541871072,0.012548733817947
11,0.41000000000000003,0.5,1.439999999999999,6.28319,-0.26891410970685,0.0069362377826066
12,0.41000000000000003,0.5,1.444999999999999,0,0,0.044050002664223
12,0.41000000000000003,0.5,1.444999999999999,0.125664,-0.022180776607046,0.043573317141983
12,0.41000000000000003,0.5,1.444999999999999,0.471239,-0.079057650057638,0.0384447732226
12,0.41000000000000003,0.5,1.444999999999999,0.942478,-0.13819776594757,0.029287379496594
12,0.41000000000000003,0.5,1.444999999999999,3.14159,-0.23648541871072,0.012548733817947
12,0.41000000000000003,0.5,1.444999999999999,6.28319,-0.26891410970685,0.0069362377826066
13,0.46,1.0,1.4049999999999998,0,0,0.079828329057821
13,0.46,1.0,1.4049999999999998,0.125664,-0.014082155758743,0.079366827793564
13,0.46,1.0,1.4049999999999998,0.471239,-0.051828430751691,0.073901401912831
13,0.46,1.0,1.4049999999999998,0.942478,-0.098038276118394,0.061267631227751
13,0.46,1.0,1.4049999999999998,3.14159,-0.21077766062639,0.025655634603894
13,0.46,1.0,1.4049999999999998,6.28319,-0.25411790777671,0.014111885237463
14,0.41000000000000003,1.0,1.4,0,0,0.088977256067539
14,0.41000000000000003,1.0,1.4,0.125664,-0.014598352111105,0.088390554968238
14,0.41000000000000003,1.0,1.4,0.471239,-0.05367173211315,0.081523740472373
14,0.41000000000000003,1.0,1.4,0.942478,-0.10124449928131,0.066190032384386
14,0.41000000000000003,1.0,1.4,3.14159,-0.21463019769232,0.026398296374065
14,0.41000000000000003,1.0,1.4,6.28319,-0.25667071908014,0.014350040122135
15,0.41000000000000003,1.0,1.4049999999999998,0,0,0.088977256067539
